                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6283,                 1.7985,                   1.74,                0.55116,                0.57157,                0.51276,                0.28231,                 1.7533,                 1.8827,                 1.8465,              0.0005538,              0.0005538,              0.0005538
                      2,                  1.683,                 1.6418,                  1.778,                0.76978,                0.74653,                0.79942,                0.43079,                 1.5937,                 1.8127,                 1.6936,              0.0010729,              0.0010729,              0.0010729
                      3,                 1.6395,                 1.4888,                 1.7299,                0.81033,                0.71744,                0.81706,                0.43566,                  1.586,                 1.3787,                 1.6739,              0.0015552,              0.0015552,              0.0015552
                      4,                 1.5657,                 1.4052,                 1.6777,                0.78525,                0.79821,                0.84784,                0.51257,                 1.4511,                   1.19,                 1.5372,               0.001502,               0.001502,               0.001502
                      5,                 1.5055,                 1.2757,                 1.6216,                0.90479,                0.82917,                0.90925,                0.54938,                 1.3393,                 1.0071,                 1.4444,               0.001447,               0.001447,               0.001447
                      6,                 1.4381,                 1.2053,                 1.5752,                0.82294,                0.83387,                0.89584,                0.57016,                 1.3227,                0.99876,                 1.4538,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.4184,                 1.1432,                 1.5501,                0.85564,                0.88814,                0.93533,                0.59697,                  1.262,                0.90132,                 1.4036,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.3715,                 1.0955,                 1.5138,                0.86919,                0.84289,                0.91223,                0.57378,                 1.2799,                0.90549,                 1.4397,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.3341,                 1.0459,                 1.4955,                0.83428,                0.87784,                0.92207,                0.58469,                 1.2597,                0.86505,                 1.4107,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.3011,                0.99929,                 1.4644,                0.91508,                0.86816,                0.93071,                0.59329,                 1.2544,                0.79572,                 1.3694,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.2614,                0.93042,                 1.4309,                0.87645,                0.88153,                0.94214,                0.62446,                 1.1638,                0.74504,                 1.3254,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.2547,                0.91738,                 1.4322,                0.90938,                0.92901,                0.94645,                0.63534,                 1.1665,                 0.7263,                 1.3446,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.1981,                0.87452,                  1.397,                0.90311,                0.88335,                0.94196,                0.64378,                 1.1242,                0.71871,                 1.3099,              0.0010069,              0.0010069,              0.0010069
                     14,                  1.198,                0.86355,                 1.3787,                0.94124,                0.88775,                0.95453,                0.66403,                  1.099,                0.69473,                 1.2677,             0.00095186,             0.00095186,             0.00095186
