                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7035,                  2.085,                 1.7846,                0.56348,                0.53649,                0.51095,                0.28441,                 1.6058,                 4.4007,                 1.6698,             0.00055287,             0.00055287,             0.00055287
                      2,                 1.7079,                 1.5825,                 1.7735,                0.23839,                0.19958,                0.19611,                0.09463,                 2.6474,                 3.3038,                 2.4937,              0.0009988,              0.0009988,              0.0009988
                      3,                 1.6846,                 1.5241,                 1.7562,                  0.791,                0.59596,                0.76675,                 0.4399,                 1.5559,                 1.4855,                 1.5906,              0.0013347,              0.0013347,              0.0013347
                      4,                 1.5604,                 1.3228,                 1.6536,                0.74277,                0.81866,                0.83628,                0.50511,                 1.4363,                 1.1798,                 1.4812,              0.0011719,              0.0011719,              0.0011719
                      5,                  1.488,                 1.2109,                 1.5739,                0.83077,                0.85156,                0.91382,                0.57456,                 1.3378,                 0.9646,                  1.412,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.4152,                  1.101,                 1.5245,                0.86309,                0.84297,                0.92022,                0.59856,                 1.3052,                0.85191,                 1.3468,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.3535,                 1.0195,                 1.4738,                0.91738,                0.85283,                0.93943,                0.60907,                 1.2428,                0.84387,                 1.3185,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.2993,                0.94259,                 1.4386,                0.90805,                0.88975,                0.94658,                0.64329,                 1.1715,                0.77098,                 1.2801,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.2331,                0.86066,                 1.3845,                0.90959,                0.89829,                0.93746,                0.62849,                  1.202,                0.76189,                 1.2839,             0.00034674,             0.00034674,             0.00034674
                     10,                  1.162,                0.78702,                 1.3329,                 0.9245,                0.91499,                0.94896,                0.65795,                 1.1214,                0.69729,                 1.2378,              0.0001817,              0.0001817,              0.0001817
